url,headline,body,author,time,date,source
https://inshorts.com/en/news/michelle-obama-reveals-she-and-barack-sought-marriage-counselling-1542082403370,Michelle Obama reveals she and Barack sought marriage counselling,"Former US First Lady Michelle Obama has revealed that she and her husband former US President Barack Obama had sought marriage counselling. ""If you\'re in a marriage there are times you want to leave, that\'s normal because I felt that way,"" she said. The former first couple got engaged in 1991 and tied the knot on October 3, 1992.",Ankush Verma,09:43 am,13-Nov-2018,Daily Mail
https://inshorts.com/en/news/manager-dies-in-burning-car-police-say-he-failed-to-open-seat-belt-1547876621586,"Manager dies in burning car, police say he failed to open seat belt","The charred body of a telecom company's 39-year-old manager named Madhav Chaturvedi was recovered from his completely burnt Hyundai i20 car in Punjab's Mohali on Thursday. Police said Chaturvedi tried to get out of the car, but apparently got stuck due to seat belt. Chaturvedi's legs were out of the car, indicating he tried to leave the car, police added.",Pragya Swastik,11:13 am,19-Jan-2019,Hindustan Times
https://inshorts.com/en/news/disha-copypastes-wrong-text-in-paid-instagram-post-gets-trolled-1548311099073,"Disha copy-pastes wrong text in paid Instagram post, gets trolled","Disha Patani was trolled on social media for an error she made in captioning one of her paid Instagram posts. She appeared to have pasted the text meant as a message to her, which was included in the now deleted post. ""Read twice before posting,"" a user commented while another person wrote, ""A dream client for any marketing agency.""",Daisy Mowke,11:54 am,24-Jan-2019,Hindustan Times
https://inshorts.com/en/news/indias-factory-output-grows-just-05-in-november-a-17month-low-1547284904165,"India's factory output grows just 0.5% in November, a 17-month low","India's industrial output growth crashed to its slowest in 17 months at 0.5% in November 2018, amid a slowdown in auto and garment manufacturing. The growth was below the upwardly revised 8.4% increase in October, government data released on Friday showed. Output in only 10 of the 23 industry groups saw positive growth in November.",Krishna Veera Vanamali,02:51 pm,12-Jan-2019,Livemint
https://inshorts.com/en/news/they-will-learn-exumpire-simon-taufel-on-pandya-rahul-1547484784157,"They will learn: Ex-umpire Simon Taufel on Pandya, Rahul","Umpire Simon Taufel, who won five consecutive ICC Umpire of the Year awards, spoke about KL Rahul and Hardik Pandya, saying, ""They too will learn."" ""[W]e all make mistakes from time to time. We all learn as we go,"" Taufel added. Pandya and Rahul were earlier banned and called back to India from Australia midway during the team\'s tour.",Dishant Sharma,10:23 pm,14-Jan-2019,CricTracker
https://inshorts.com/en/news/shah-doing-well-will-be-discharged-in-a-day-or-two-bjp-1547720000992,"Shah doing well, will be discharged in a day or two: BJP","The BJP on Thursday said that party chief Amit Shah, who is undergoing treatment for swine flu at All India Institute of Medical Sciences (AIIMS), New Delhi, is doing well and will be discharged in one or two days. Shah was admitted on Wednesday after he complained of chest congestion. He was admitted to the old private ward of AIIMS.",Shashank Verma,03:43 pm,17-Jan-2019,[]
https://inshorts.com/en/news/congress-leader-dies-of-heart-attack-during-surya-namaskar-event-1547290441191,Congress leader dies of heart attack during 'Surya Namaskar' event,Madhya Pradesh Congress leader Pradeep Saxena passed away after suffering a heart attack while participating in a 'Surya Namaskar' event in Chhindwara on Saturday. Saxena was district vice-president of the Congress unit in Chhindwara. Madhya Pradesh Chief Minister Kamal Nath spoke with Saxena's family members over the phone and extended his condolences.,Ankush Verma,04:24 pm,12-Jan-2019,India.com
https://inshorts.com/en/news/tulsi-gabbard-1st-hindu-in-us-congress-to-run-for-president-1547290830366,"Tulsi Gabbard, 1st Hindu in US Congress, to run for President","Tulsi Gabbard, the first-ever Hindu elected to the US Congress, has announced that she will run for President in 2020. Gabbard is an Iraq war veteran and the first Hindu and first Samoan-American elected to the US Congress. She is currently serving as the US Representative from the state of Hawaii and is a member of the Democratic Party.",Nandini Sinha,04:30 pm,12-Jan-2019,The Guardian
https://inshorts.com/en/news/not-someone-who-takes-shit-zareen-on-slapping-man-who-misbehaved-1547223585736,Not someone who takes shit: Zareen on slapping man who misbehaved,"Actress Zareen Khan, while recalling an incident wherein she slapped a man while being mobbed in Aurangabad, said, ""I am not someone who is up for shit."" ""I don\'t know what\'s this sick mentality of men who want to grab women in an inappropriate manner. It\'s high time that women should give it back to such men,"" she added. ",Anmol Sharma,09:49 pm,11-Jan-2019,Pinkvilla
https://inshorts.com/en/news/ktaka-cong-mla-injured-in-fight-with-another-mla-at-resort-1548095626851,K'taka Cong MLA injured in fight with another MLA at resort,"Karnataka Congress MLA Anand Singh was hospitalised on Sunday after a fight broke out between him and party MLA JN Ganesh at the resort housing them and 74 other Congress legislators. The two reportedly had an argument over Ganesh trying to defect to BJP, following which Ganesh allegedly thrashed and threatened Singh. Meanwhile, Congress has suspended Ganesh from the party.",Shweta Singh,12:03 am,22-Jan-2019,The News Minute
